time,latitude,longitude,speed_kmph,acceleration,gyroscope,acceleration_smooth,speed_smooth
1,411.25243634487725,1180.7511754315697,0.0,1.368431860224151,0.0,,
2,410.069846288118,1177.5692193212717,0.0,3.39460806724575,0.0,2.3815199637349505,0.0
3,410.299779349414,1178.1957843809596,0.0,0.667422644730416,0.0,2.031015355988083,0.0
4,411.0166022173532,1180.1085994407772,0.0,2.0427179142176195,0.0,1.3550702794740177,0.0
5,410.5395047944606,1178.834027222373,0.0,1.3609394883163428,0.0,1.7018287012669813,0.0
6,409.8439847252494,1176.951990378259,0.0,2.006442336394592,0.0,1.6836909123554675,0.0
7,409.6190413848776,1176.3361518459033,0.0,0.6556345051262122,0.0,1.331038420760402,0.0
8,408.2645533117952,1172.593766461355,0.0,3.9799605910866447,0.0,2.3177975481064284,0.0
9,408.9301113663387,1174.437501685038,0.0,1.9601854756671853,0.0,2.9700730333769148,0.0
10,409.3800392960004,1175.6803380067167,0.0,1.3217705036706835,0.0,1.6409779896689343,0.0
11,407.8121158109163,1171.33413373933,0.0,4.620376130676996,0.0,2.9710733171738397,0.0
12,408.0419437660394,1171.9775827924032,0.0,0.683262448007318,0.0,2.651819289342156,0.0
13,408.4874819399252,1173.2125729927925,0.0,1.31289948566013,0.0,0.9980809668337235,0.0
14,409.1525519504914,1175.0526323160734,0.0,1.956562401802801,0.0,1.634730943731465,0.0
